iter	Passed	Remaining
0	48	97091
1	49	49527
2	50	33829
3	51	25853
4	52	20855
5	53	17658
6	54	15384
7	54	13530
8	54	12142
9	55	11094
10	56	10224
11	57	9512
12	57	8838
13	58	8367
14	59	7922
15	60	7465
16	60	7093
17	61	6744
18	62	6482
19	63	6250
20	63	6005
21	64	5806
22	65	5627
23	66	5465
24	67	5297
25	67	5146
26	68	5014
27	68	4855
28	69	4737
29	70	4644
30	71	4513
31	72	4428
32	73	4361
33	74	4285
34	75	4213
35	75	4143
36	76	4066
37	77	4018
38	78	3928
39	78	3865
40	79	3803
41	81	3776
42	82	3764
43	83	3704
44	83	3632
45	84	3576
46	84	3514
47	85	3464
48	85	3417
49	86	3377
50	86	3324
51	87	3280
52	88	3243
53	89	3208
54	89	3157
55	89	3107
56	90	3073
57	90	3026
58	91	2994
59	91	2967
60	92	2938
61	93	2909
62	93	2889
63	95	2900
64	97	2889
65	98	2887
66	99	2866
67	100	2844
68	101	2841
69	102	2835
70	104	2826
71	105	2812
72	106	2803
73	107	2787
74	108	2776
75	109	2761
76	109	2742
77	110	2726
78	111	2709
79	112	2688
80	112	2669
81	113	2648
82	113	2623
83	114	2605
84	114	2587
85	115	2568
86	115	2544
87	116	2526
88	117	2518
89	118	2508
90	118	2493
91	119	2478
92	120	2467
93	121	2455
94	121	2444
95	122	2430
96	123	2417
97	123	2404
98	125	2400
99	126	2404
100	127	2394
101	128	2399
102	129	2388
103	130	2370
104	130	2362
105	131	2352
106	132	2341
107	133	2335
108	133	2320
109	134	2312
110	134	2296
111	135	2286
112	136	2278
113	137	2272
114	137	2260
115	138	2243
116	138	2228
117	139	2219
118	140	2213
119	141	2209
120	142	2206
121	143	2201
122	143	2193
123	144	2189
124	145	2184
125	146	2180
126	147	2173
127	148	2173
128	149	2168
129	150	2164
130	152	2170
131	153	2170
132	154	2166
133	155	2163
134	156	2156
135	156	2150
136	157	2144
137	158	2144
138	159	2141
139	160	2137
140	161	2132
141	162	2126
142	162	2115
143	163	2108
144	164	2101
145	165	2095
146	165	2088
147	166	2081
148	166	2074
149	167	2062
150	167	2057
151	168	2052
152	169	2046
153	170	2040
154	170	2034
155	171	2029
156	172	2026
157	173	2020
158	174	2016
159	175	2014
160	175	2009
161	176	2005
162	178	2007
163	179	2005
164	179	2001
165	180	1997
166	182	1997
167	183	1997
168	184	1993
169	185	1992
170	186	1989
171	186	1986
172	188	1985
173	188	1982
174	189	1980
175	190	1976
176	191	1972
177	192	1970
178	193	1965
179	194	1962
180	194	1957
181	195	1954
182	196	1951
183	197	1948
184	198	1947
185	199	1944
186	199	1938
187	200	1933
188	201	1929
189	202	1925
190	202	1921
191	203	1918
192	204	1914
193	205	1909
194	205	1906
195	206	1901
196	207	1898
197	208	1896
198	209	1894
199	209	1889
200	210	1887
201	211	1885
202	212	1880
203	213	1876
204	214	1874
205	215	1875
206	216	1873
207	217	1871
208	218	1870
209	219	1867
210	220	1866
211	221	1865
212	221	1861
213	222	1860
214	223	1857
215	224	1853
216	225	1849
217	225	1847
218	226	1844
219	227	1840
220	228	1838
221	229	1836
222	229	1832
223	231	1833
224	232	1830
225	232	1828
226	233	1825
227	234	1822
228	235	1820
229	236	1817
230	236	1814
231	237	1810
232	238	1809
233	239	1806
234	240	1803
235	240	1799
236	241	1796
237	242	1795
238	243	1792
239	243	1789
240	244	1786
241	245	1784
