Артикул продукции,Продукция,Артикул материала,Материал,Цех_511,Цех_522,Цех_533,Цех_544,Цех_555
100,813,173,17.0,False,False,True,False,False
205,1043,173,17.0,False,False,True,False,False
208,283,173,17.0,False,False,True,False,False
241,690,173,17.0,False,False,True,False,False
36,552,173,17.0,False,False,True,False,False
125,793,173,17.0,False,False,True,False,False
248,230,173,17.0,False,False,True,False,False
18,2206,173,17.0,False,False,True,False,False
206,244,173,17.0,False,False,True,False,False
266,253,173,17.0,False,False,True,False,False
235,794,173,17.0,False,False,True,False,False
95,528,110,288.0,False,False,True,False,False
48,460,183,26.25,False,False,True,False,False
48,460,110,288.0,False,False,True,False,False
140,1821,114,56.0,False,False,False,False,True
53,460,183,26.25,False,False,True,False,False
53,460,110,288.0,False,False,True,False,False
76,1026,114,56.0,False,False,False,False,True
152,674,63,64.0,True,False,False,False,False
97,269,63,64.0,True,False,False,False,False
126,369,110,288.0,False,False,True,False,False
95,528,183,26.25,False,False,True,False,False
164,1612,63,64.0,True,False,False,False,False
90,144,183,26.25,False,False,True,False,False
90,144,110,288.0,False,False,True,False,False
169,138,114,56.0,False,False,False,False,True
147,299,183,26.25,False,False,True,False,False
147,299,110,288.0,False,False,True,False,False
126,369,183,26.25,False,False,True,False,False
197,367,114,56.0,False,False,False,False,True
139,2554,63,64.0,True,False,False,False,False
178,840,114,56.0,False,False,False,False,True
69,167,114,56.0,False,False,False,False,True
12,1232,114,56.0,False,False,False,False,True
191,116,63,64.0,True,False,False,False,False
226,734,183,26.25,False,False,True,False,False
226,734,110,288.0,False,False,True,False,False
49,247,183,26.25,False,False,True,False,False
49,247,110,288.0,False,False,True,False,False
1,558,63,64.0,True,False,False,False,False
148,1785,114,56.0,False,False,False,False,True
8,642,63,64.0,True,False,False,False,False
204,297,183,26.25,False,False,True,False,False
165,189,63,64.0,True,False,False,False,False
204,297,110,288.0,False,False,True,False,False
84,1062,114,56.0,False,False,False,False,True
100,478,183,26.25,False,False,True,False,False
100,478,110,288.0,False,False,True,False,False
25,2155,183,26.25,False,False,True,False,False
25,2155,110,288.0,False,False,True,False,False
117,467,114,56.0,False,False,False,False,True
80,407,127,30.0,True,False,False,False,False
17,2411,127,30.0,True,False,False,False,False
71,1326,127,30.0,True,False,False,False,False
44,687,127,30.0,True,False,False,False,False
63,2602,127,30.0,True,False,False,False,False
122,689,127,30.0,True,False,False,False,False
10,1056,127,30.0,True,False,False,False,False
88,550,127,30.0,True,False,False,False,False
137,225,127,30.0,True,False,False,False,False
10,1026,127,30.0,True,False,False,False,False
2,707,13,43.8,False,False,True,False,False
13,378,13,43.8,False,False,True,False,False
17,1261,13,43.8,False,False,True,False,False
33,1661,13,43.8,False,False,True,False,False
5,652,13,43.8,False,False,True,False,False
13,53,13,43.8,False,False,True,False,False
27,225,13,43.8,False,False,True,False,False
10,1794,13,43.8,False,False,True,False,False
25,1218,13,43.8,False,False,True,False,False
35,669,13,43.8,False,False,True,False,False
48,1364,13,43.8,False,False,True,False,False
5,97,13,43.8,False,False,True,False,False
14,1945,13,43.8,False,False,True,False,False
83,379,13,43.8,False,False,True,False,False
42,234,13,43.8,False,False,True,False,False
30,418,13,43.8,False,False,True,False,False
83,249,13,43.8,False,False,True,False,False
14,281,13,43.8,False,False,True,False,False
68,287,13,43.8,False,False,True,False,False
3,1100,13,43.8,False,False,True,False,False
50,496,13,43.8,False,False,True,False,False
17,1601,13,43.8,False,False,True,False,False
550,1579,203,120.0,False,False,False,False,True
193,1558,88,7.8,False,False,False,False,True
193,1558,203,120.0,False,False,False,False,True
84,292,88,7.8,False,False,False,False,True
84,292,203,120.0,False,False,False,False,True
550,1579,88,7.8,False,False,False,False,True
2,147,88,7.8,False,False,False,False,True
12,511,88,7.8,False,False,False,False,True
8,285,88,7.8,False,False,False,False,True
8,285,203,120.0,False,False,False,False,True
12,511,203,120.0,False,False,False,False,True
0,898,88,7.8,False,False,False,False,True
0,898,203,120.0,False,False,False,False,True
14,86,88,7.8,False,False,False,False,True
14,86,203,120.0,False,False,False,False,True
2,147,203,120.0,False,False,False,False,True
545,407,4,115.0,False,True,False,False,False
496,379,4,115.0,False,True,False,False,False
396,759,4,115.0,False,True,False,False,False
217,1049,4,115.0,False,True,False,False,False
132,308,4,115.0,False,True,False,False,False
256,850,4,115.0,False,True,False,False,False
591,1296,4,115.0,False,True,False,False,False
385,832,4,115.0,False,True,False,False,False
448,220,4,115.0,False,True,False,False,False
553,266,4,115.0,False,True,False,False,False
546,272,205,5.333333333333333,False,False,True,False,False
594,327,56,19.5,False,True,False,False,False
367,982,205,5.333333333333333,False,False,True,False,False
50,265,205,5.333333333333333,False,False,True,False,False
121,1763,205,5.333333333333333,False,False,True,False,False
316,1528,205,5.333333333333333,False,False,True,False,False
260,495,241,23.0,False,False,False,True,False
260,495,154,97.0,False,False,False,True,False
570,1148,56,19.5,False,True,False,False,False
513,2025,154,97.0,False,False,False,True,False
249,2026,205,5.333333333333333,False,False,True,False,False
367,199,56,19.5,False,True,False,False,False
474,499,205,5.333333333333333,False,False,True,False,False
251,387,241,23.0,False,False,False,True,False
251,387,154,97.0,False,False,False,True,False
35,1637,205,5.333333333333333,False,False,True,False,False
416,824,205,5.333333333333333,False,False,True,False,False
334,286,205,5.333333333333333,False,False,True,False,False
513,2025,241,23.0,False,False,False,True,False
510,1093,56,19.5,False,True,False,False,False
345,994,154,97.0,False,False,False,True,False
178,1069,154,97.0,False,False,False,True,False
12,188,56,19.5,False,True,False,False,False
450,214,205,5.333333333333333,False,False,True,False,False
211,1457,241,23.0,False,False,False,True,False
534,321,241,23.0,False,False,False,True,False
534,321,154,97.0,False,False,False,True,False
345,994,241,23.0,False,False,False,True,False
508,2155,205,5.333333333333333,False,False,True,False,False
424,302,241,23.0,False,False,False,True,False
424,302,154,97.0,False,False,False,True,False
211,1457,154,97.0,False,False,False,True,False
396,983,241,23.0,False,False,False,True,False
396,983,154,97.0,False,False,False,True,False
170,1509,56,19.5,False,True,False,False,False
181,287,241,23.0,False,False,False,True,False
181,287,154,97.0,False,False,False,True,False
289,1547,241,23.0,False,False,False,True,False
289,1547,154,97.0,False,False,False,True,False
178,1069,241,23.0,False,False,False,True,False
330,889,205,5.333333333333333,False,False,True,False,False
268,391,116,154.0,False,True,False,False,False
45,365,116,154.0,False,True,False,False,False
353,1610,191,75.0,True,False,False,False,False
363,2324,11,1.5,False,False,True,False,False
534,162,191,75.0,True,False,False,False,False
511,729,116,154.0,False,True,False,False,False
554,448,116,154.0,False,True,False,False,False
322,1963,191,75.0,True,False,False,False,False
126,202,11,1.5,False,False,True,False,False
23,501,11,1.5,False,False,True,False,False
180,1901,116,154.0,False,True,False,False,False
261,1538,116,154.0,False,True,False,False,False
467,1001,11,1.5,False,False,True,False,False
428,230,116,154.0,False,True,False,False,False
48,742,11,1.5,False,False,True,False,False
205,1507,116,154.0,False,True,False,False,False
16,47,11,1.5,False,False,True,False,False
309,857,116,154.0,False,True,False,False,False
371,407,11,1.5,False,False,True,False,False
24,573,191,75.0,True,False,False,False,False
493,176,11,1.5,False,False,True,False,False
18,1843,116,154.0,False,True,False,False,False
498,193,191,75.0,True,False,False,False,False
545,382,116,154.0,False,True,False,False,False
192,2604,11,1.5,False,False,True,False,False
424,337,11,1.5,False,False,True,False,False
7,517,11,1.5,False,False,True,False,False
432,1541,256,12.666666666666666,False,False,False,False,True
384,1727,256,12.666666666666666,False,False,False,False,True
51,974,256,12.666666666666666,False,False,False,False,True
203,431,256,12.666666666666666,False,False,False,False,True
44,863,256,12.666666666666666,False,False,False,False,True
346,1842,256,12.666666666666666,False,False,False,False,True
482,407,256,12.666666666666666,False,False,False,False,True
117,1289,256,12.666666666666666,False,False,False,False,True
236,227,256,12.666666666666666,False,False,False,False,True
284,82,256,12.666666666666666,False,False,False,False,True
331,427,256,12.666666666666666,False,False,False,False,True
333,711,256,12.666666666666666,False,False,False,False,True
301,882,120,4.0,False,False,False,True,False
199,174,120,4.0,False,False,False,True,False
94,280,24,79.0,False,False,True,False,False
41,1446,120,4.0,False,False,False,True,False
3,1679,121,29.2,True,False,False,False,False
137,889,121,29.2,True,False,False,False,False
94,1336,24,79.0,False,False,True,False,False
96,444,121,29.2,True,False,False,False,False
377,784,120,4.0,False,False,False,True,False
1,195,24,79.0,False,False,True,False,False
42,647,120,4.0,False,False,False,True,False
264,1620,120,4.0,False,False,False,True,False
229,208,121,29.2,True,False,False,False,False
395,1906,24,79.0,False,False,True,False,False
308,270,120,4.0,False,False,False,True,False
200,437,120,4.0,False,False,False,True,False
180,312,120,4.0,False,False,False,True,False
246,90,24,79.0,False,False,True,False,False
283,422,120,4.0,False,False,False,True,False
116,274,24,79.0,False,False,True,False,False
242,559,121,29.2,True,False,False,False,False
51,262,120,4.0,False,False,False,True,False
143,1659,164,2.5,False,True,False,False,False
10,2147,182,189.0,False,False,True,False,False
180,376,17,36.0,False,False,True,False,False
180,376,182,189.0,False,False,True,False,False
143,1659,95,5.0,False,True,False,False,False
187,838,95,5.0,False,True,False,False,False
169,1208,17,36.0,False,False,True,False,False
83,522,95,5.0,False,True,False,False,False
83,522,164,2.5,False,True,False,False,False
74,1162,17,36.0,False,False,True,False,False
74,1162,182,189.0,False,False,True,False,False
169,1208,182,189.0,False,False,True,False,False
10,2147,17,36.0,False,False,True,False,False
187,838,164,2.5,False,True,False,False,False
16,387,182,189.0,False,False,True,False,False
144,2099,95,5.0,False,True,False,False,False
32,1601,182,189.0,False,False,True,False,False
170,498,182,189.0,False,False,True,False,False
41,445,95,5.0,False,True,False,False,False
41,445,164,2.5,False,True,False,False,False
37,738,17,36.0,False,False,True,False,False
37,738,182,189.0,False,False,True,False,False
170,498,17,36.0,False,False,True,False,False
144,2099,164,2.5,False,True,False,False,False
16,387,17,36.0,False,False,True,False,False
187,1128,182,189.0,False,False,True,False,False
19,2067,95,5.0,False,True,False,False,False
19,2067,164,2.5,False,True,False,False,False
188,199,17,36.0,False,False,True,False,False
188,199,182,189.0,False,False,True,False,False
32,1601,17,36.0,False,False,True,False,False
187,1128,17,36.0,False,False,True,False,False
48,892,166,6.0,False,False,True,False,False
29,341,166,6.0,False,False,True,False,False
118,1063,166,6.0,False,False,True,False,False
17,2137,166,6.0,False,False,True,False,False
145,398,166,6.0,False,False,True,False,False
113,2001,166,6.0,False,False,True,False,False
44,221,166,6.0,False,False,True,False,False
34,794,105,24.8,False,False,True,False,False
21,1998,105,24.8,False,False,True,False,False
21,1998,34,24.0,False,False,True,False,False
49,992,191,78.4,False,False,False,True,False
33,1662,191,78.4,False,False,False,True,False
57,338,191,78.4,False,False,False,True,False
38,177,191,100.0,False,True,False,False,False
7,1226,191,78.4,False,False,False,True,False
34,794,108,19.0,False,False,True,False,False
34,794,34,24.0,False,False,True,False,False
27,1726,105,24.8,False,False,True,False,False
18,2070,108,19.0,False,False,True,False,False
18,2070,105,24.8,False,False,True,False,False
18,2070,34,24.0,False,False,True,False,False
35,1112,191,100.0,False,True,False,False,False
27,1726,108,19.0,False,False,True,False,False
27,1726,34,24.0,False,False,True,False,False
0,783,191,78.4,False,False,False,True,False
17,859,191,100.0,False,True,False,False,False
0,153,191,100.0,False,True,False,False,False
17,338,191,100.0,False,True,False,False,False
31,1867,191,78.4,False,False,False,True,False
21,1998,108,19.0,False,False,True,False,False
57,758,191,100.0,False,True,False,False,False
56,2132,191,100.0,False,True,False,False,False
34,331,108,19.0,False,False,True,False,False
34,331,105,24.8,False,False,True,False,False
34,331,34,24.0,False,False,True,False,False
67,282,191,100.0,False,True,False,False,False
38,1300,108,19.0,False,False,True,False,False
38,1300,34,24.0,False,False,True,False,False
76,535,108,19.0,False,False,True,False,False
76,535,105,24.8,False,False,True,False,False
76,535,34,24.0,False,False,True,False,False
38,1300,105,24.8,False,False,True,False,False
