Цех,Артикул продукции,Продукция,Дата,Артикул материала,Материал
533,330012233513,813,2023-01-02,12300256,17.0
533,330012233618,1043,2023-01-02,12300256,17.0
533,330012233621,283,2023-01-02,12300256,17.0
533,330012233654,690,2023-01-02,12300256,17.0
533,330012233449,552,2023-01-02,12300256,17.0
533,330012233538,793,2023-01-02,12300256,17.0
533,330012233661,230,2023-01-02,12300256,17.0
533,330012233431,2206,2023-01-02,12300256,17.0
533,330012233619,244,2023-01-02,12300256,17.0
533,330012233679,253,2023-01-02,12300256,17.0
533,330012233648,794,2023-01-02,12300256,17.0
533,330012233508,528,2023-01-03,123002,288.0
533,330012233461,460,2023-01-03,12300265,26.25
533,330012233461,460,2023-01-03,123002,288.0
555,330012233553,1821,2023-01-03,12300202,56.0
533,330012233466,460,2023-01-03,12300265,26.25
533,330012233466,460,2023-01-03,123002,288.0
555,330012233489,1026,2023-01-03,12300202,56.0
511,330012233565,674,2023-01-03,12300157,64.0
511,330012233510,269,2023-01-03,12300157,64.0
533,330012233539,369,2023-01-03,123002,288.0
533,330012233508,528,2023-01-03,12300265,26.25
511,330012233577,1612,2023-01-03,12300157,64.0
533,330012233503,144,2023-01-03,12300265,26.25
533,330012233503,144,2023-01-03,123002,288.0
555,330012233582,138,2023-01-03,12300202,56.0
533,330012233560,299,2023-01-03,12300265,26.25
533,330012233560,299,2023-01-03,123002,288.0
533,330012233539,369,2023-01-03,12300265,26.25
555,330012233610,367,2023-01-03,12300202,56.0
511,330012233552,2554,2023-01-03,12300157,64.0
555,330012233591,840,2023-01-03,12300202,56.0
555,330012233482,167,2023-01-03,12300202,56.0
555,330012233425,1232,2023-01-03,12300202,56.0
511,330012233604,116,2023-01-03,12300157,64.0
533,330012233639,734,2023-01-03,12300265,26.25
533,330012233639,734,2023-01-03,123002,288.0
533,330012233462,247,2023-01-03,12300265,26.25
533,330012233462,247,2023-01-03,123002,288.0
511,330012233414,558,2023-01-03,12300157,64.0
555,330012233561,1785,2023-01-03,12300202,56.0
511,330012233421,642,2023-01-03,12300157,64.0
533,330012233617,297,2023-01-03,12300265,26.25
511,330012233578,189,2023-01-03,12300157,64.0
533,330012233617,297,2023-01-03,123002,288.0
555,330012233497,1062,2023-01-03,12300202,56.0
