Артикул продукции,Наименование продукции,Цех,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
330012233412,Железная штука №330012233412,511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0
330012233413,Железная штука №330012233413,511,2114.0,3478.0,2950.0,1287.0,398.0,1510.0,5084.0,5848.0,2456.0,1522.0,3340.0,3444.0,1073.0,1338.0,6001.0,303.0,627.0,2452.0,2695.0,3027.0,3497.0,4532.0,4269.0,371.0,0.0,784.0,1429.0,2758.0,4339.0,2270.0,0.0,0.0,1047.0,5704.0,0.0,3254.0
330012233413,Железная штука №330012233413,522,1571.0,1299.0,0.0,501.0,4370.0,3123.0,4921.0,233.0,688.0,2069.0,3089.0,3570.0,7465.0,1466.0,591.0,3200.0,582.0,1520.0,3206.0,5475.0,859.0,4420.0,3637.0,1861.0,1060.0,6769.0,3563.0,2644.0,247.0,1001.0,708.0,3159.0,7681.0,1587.0,66.0,3553.0
330012233413,Железная штука №330012233413,533,2322.0,1672.0,392.0,3961.0,3364.0,2117.0,1867.0,4935.0,1558.0,2688.0,1618.0,95.0,165.0,1315.0,215.0,1182.0,2874.0,1481.0,1967.0,0.0,2967.0,4979.0,149.0,2957.0,2748.0,1834.0,0.0,2116.0,135.0,5955.0,195.0,310.0,2438.0,350.0,0.0,3374.0
330012233413,Железная штука №330012233413,544,1408.0,2627.0,1527.0,4376.0,4779.0,2718.0,2974.0,2246.0,2534.0,3891.0,3011.0,261.0,2053.0,3008.0,406.0,304.0,2415.0,0.0,7064.0,1414.0,2778.0,177.0,1053.0,2340.0,474.0,261.0,6495.0,3385.0,1068.0,251.0,714.0,7200.0,2595.0,3696.0,1875.0,4840.0
330012233413,Железная штука №330012233413,555,7096.0,3493.0,3977.0,2068.0,3543.0,1470.0,739.0,1968.0,3373.0,1121.0,4296.0,1693.0,5360.0,615.0,3083.0,0.0,2396.0,416.0,5222.0,7707.0,1245.0,1057.0,1727.0,3399.0,0.0,1650.0,3496.0,2350.0,4107.0,1381.0,770.0,5215.0,413.0,5319.0,3765.0,3494.0
330012233414,Железная штука №330012233414,511,907.0,1270.0,1354.0,3508.0,0.0,1162.0,2237.0,1638.0,1418.0,1303.0,2204.0,371.0,2482.0,369.0,2301.0,2789.0,3018.0,1195.0,3133.0,868.0,2303.0,0.0,1599.0,1984.0,1855.0,474.0,1823.0,1308.0,3017.0,2952.0,0.0,1948.0,3202.0,573.0,2162.0,3540.0
330012233414,Железная штука №330012233414,522,1835.0,2776.0,6539.0,7327.0,2337.0,6316.0,2623.0,1019.0,3751.0,355.0,1919.0,3196.0,963.0,1318.0,801.0,1529.0,847.0,938.0,1739.0,0.0,3242.0,2268.0,0.0,1855.0,2130.0,3334.0,259.0,300.0,1486.0,3067.0,4434.0,1360.0,4313.0,834.0,2605.0,5837.0
330012233414,Железная штука №330012233414,533,1892.0,758.0,1443.0,3252.0,4019.0,2037.0,1663.0,4246.0,1576.0,1620.0,2531.0,4193.0,3216.0,194.0,1502.0,4061.0,749.0,2595.0,806.0,4315.0,3255.0,4071.0,1667.0,3666.0,776.0,0.0,999.0,5725.0,0.0,1587.0,0.0,1799.0,4087.0,1221.0,1627.0,8533.0
330012233414,Железная штука №330012233414,544,4217.0,3661.0,2319.0,1229.0,4085.0,2466.0,7959.0,3983.0,5194.0,953.0,2322.0,1856.0,999.0,1245.0,881.0,455.0,1581.0,2694.0,2347.0,2374.0,844.0,2563.0,1717.0,912.0,678.0,428.0,1714.0,1845.0,2150.0,2165.0,891.0,1207.0,0.0,0.0,642.0,173.0
