Артикул материала;Наименование материала;Цех;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12
123001;Масло 284;533;271,6;110,3;98,7;44,3;30,4;38,5;132,6;124,9;46,2;42,3;51,3;47,7;63,7;0,0;187,4;69,3;281,7;44,2;40,1;58,4;4,5;6,1;61,7;26,1;349,6;7,2;69,3;548,7;15,7;13,6;51,5;8,2;414,8;0,0;13,6;58,6
123002;Масло 256;533;0,0;62,3;52,8;61,2;0,0;44,8;0,0;48,6;39,7;32,6;17,6;45,4;33,7;57,6;43,6;38,6;13,2;29,0;23,6;49,3;51,4;66,5;53,6;42,1;46,4;84,0;45,4;67,2;24,7;51,0;51,2;40,0;36,9;34,2;0,0;45,8
123003;Масло 192;544;21,8;28,4;16,6;39,9;32,9;23,9;43,3;31,2;26,5;27,1;39,0;23,0;26,1;0,0;25,5;22,8;18,2;49,6;19,2;10,3;28,6;11,8;12,0;20,2;32,9;0,0;12,2;24,6;15,0;23,6;14,3;31,5;30,9;20,5;33,1;18,1
123004;Масло 248;511;11,8;0,0;13,2;7,4;14,9;0,0;11,6;23,6;9,0;12,3;12,4;16,6;14,3;13,9;14,4;11,6;12,3;10,7;10,8;9,7;13,5;14,8;7,5;14,2;21,9;12,2;0,0;10,6;12,0;6,1;11,2;9,7;8,6;15,8;0,0;10,5
123005;Масло 283;522;21,5;19,4;13,4;7,7;11,3;24,2;8,6;2,7;14,2;23,9;23,9;25,9;37,4;28,2;27,4;0,0;16,3;19,6;7,7;21,2;0,0;0,0;13,6;19,7;21,1;21,7;9,1;30,4;25,8;15,6;0,0;18,2;22,7;11,3;30,4;12,2
123006;Масло 22;533;0,0;0,0;0,0;2,0;5,6;0,0;188,6;0,0;0,0;0,0;3,7;0,0;0,0;106,1;0,0;0,0;60,2;0,0;5,6;31,5;1,5;8,2;10,4;0,0;4,1;2,1;30,0;46,5;6,4;11,2;0,0;21,0;0,0;0,0;4,3;9,6
123007;Масло 196;555;36,4;33,8;150,5;28,7;0,0;1,0;101,2;0,0;97,3;42,5;13,6;26,5;61,2;0,0;84,9;50,9;143,1;27,4;220,5;39,6;192,0;63,3;223,7;32,2;30,1;142,1;128,1;15,4;66,6;181,2;51,0;89,3;38,8;279,4;0,0;59,0
123008;Масло 228;533;14,6;19,6;19,9;17,3;20,5;20,5;0,0;17,9;15,9;21,3;15,0;22,3;14,2;22,1;15,0;15,0;16,8;14,2;14,7;12,0;16,3;13,7;15,8;13,6;13,8;20,6;13,6;14,6;9,7;0,0;12,6;18,8;20,2;26,1;18,5;0,0
123009;Масло 101;522;5,1;9,2;0,0;35,4;0,0;0,0;0,6;1,6;12,6;0,0;0,5;0,0;2,1;0,0;0,0;0,0;4,5;0,0;0,0;7,6;0,0;9,2;2,0;0,0;0,0;0,0;16,6;0,0;0,0;232,5;9,0;2,7;0,0;8,4;0,3;2,0
1230010;Масло 91;511;19,0;22,3;10,1;17,0;9,0;17,0;0,0;17,5;22,1;15,4;20,5;0,0;19,9;15,0;9,3;11,3;9,8;14,0;20,2;22,4;12,4;0,0;23,1;14,6;14,9;0,0;27,8;19,1;17,3;24,3;17,2;17,8;13,9;15,0;0,0;10,3
